number	audit	status	name	source	line
29	AUE_IOCTL	STD	linux_ioctl	sys/arm64/linux/syscalls.master	185
30	AUE_SETPRIORITY	STD	linux_ioprio_set	sys/arm64/linux/syscalls.master	192
31	AUE_GETPRIORITY	STD	linux_ioprio_get	sys/arm64/linux/syscalls.master	199
32	AUE_FLOCK	NOPROTO	flock	sys/arm64/linux/syscalls.master	205
33	AUE_MKNODAT	STD	linux_mknodat	sys/arm64/linux/syscalls.master	211
34	AUE_MKDIRAT	STD	linux_mkdirat	sys/arm64/linux/syscalls.master	219
35	AUE_UNLINKAT	STD	linux_unlinkat	sys/arm64/linux/syscalls.master	226
36	AUE_SYMLINKAT	STD	linux_symlinkat	sys/arm64/linux/syscalls.master	233
37	AUE_LINKAT	STD	linux_linkat	sys/arm64/linux/syscalls.master	240
38	AUE_RENAMEAT	STD	linux_renameat	sys/arm64/linux/syscalls.master	249
39	AUE_NULL	UNIMPL	linux_umount2	sys/arm64/linux/syscalls.master	257
40	AUE_MOUNT	STD	linux_mount	sys/arm64/linux/syscalls.master	258
41	AUE_PIVOT_ROOT	STD	linux_pivot_root	sys/arm64/linux/syscalls.master	267
42	AUE_NULL	UNIMPL	nfsservctl	sys/arm64/linux/syscalls.master	270
43	AUE_STATFS	STD	linux_statfs	sys/arm64/linux/syscalls.master	271
44	AUE_FSTATFS	STD	linux_fstatfs	sys/arm64/linux/syscalls.master	277
45	AUE_TRUNCATE	STD	linux_truncate	sys/arm64/linux/syscalls.master	283
46	AUE_FTRUNCATE	STD	linux_ftruncate	sys/arm64/linux/syscalls.master	289
47	AUE_NULL	STD	linux_fallocate	sys/arm64/linux/syscalls.master	295
48	AUE_FACCESSAT	STD	linux_faccessat	sys/arm64/linux/syscalls.master	303
49	AUE_CHDIR	STD	linux_chdir	sys/arm64/linux/syscalls.master	310
50	AUE_FCHDIR	NOPROTO	fchdir	sys/arm64/linux/syscalls.master	315
51	AUE_CHROOT	NOPROTO	chroot	sys/arm64/linux/syscalls.master	320
52	AUE_FCHMOD	NOPROTO	fchmod	sys/arm64/linux/syscalls.master	325
53	AUE_FCHMODAT	STD	linux_fchmodat	sys/arm64/linux/syscalls.master	331
54	AUE_FCHOWNAT	STD	linux_fchownat	sys/arm64/linux/syscalls.master	338
55	AUE_FCHOWN	NOPROTO	fchown	sys/arm64/linux/syscalls.master	347
56	AUE_OPEN_RWTC	STD	linux_openat	sys/arm64/linux/syscalls.master	354
57	AUE_CLOSE	NOPROTO	close	sys/arm64/linux/syscalls.master	362
58	AUE_NULL	STD	linux_vhangup	sys/arm64/linux/syscalls.master	367
59	AUE_NULL	STD	linux_pipe2	sys/arm64/linux/syscalls.master	370
60	AUE_NULL	UNIMPL	linux_quotactl	sys/arm64/linux/syscalls.master	376
61	AUE_GETDIRENTRIES	STD	linux_getdents64	sys/arm64/linux/syscalls.master	377
62	AUE_LSEEK	STD	linux_lseek	sys/arm64/linux/syscalls.master	384
63	AUE_NULL	NOPROTO	read	sys/arm64/linux/syscalls.master	391
64	AUE_NULL	STD	linux_write	sys/arm64/linux/syscalls.master	398
65	AUE_READV	NOPROTO	readv	sys/arm64/linux/syscalls.master	405
66	AUE_WRITEV	STD	linux_writev	sys/arm64/linux/syscalls.master	412
67	AUE_PREAD	STD	linux_pread	sys/arm64/linux/syscalls.master	419
68	AUE_PWRITE	STD	linux_pwrite	sys/arm64/linux/syscalls.master	427
69	AUE_NULL	STD	linux_preadv	sys/arm64/linux/syscalls.master	435
