domain	symbol	role	reuse	source	line
open-file-path	linux_mkdir	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	784
open-file-path	linux_mkdirat	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	792
open-file-path	linux_mount	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1130
open-file-path	linux_name_to_handle_at	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	229
open-file-path	linux_oldumount	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1216
open-file-path	linux_open	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	220
open-file-path	linux_open_by_handle_at	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	296
open-file-path	linux_openat	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	209
open-file-path	linux_pipe	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1687
open-file-path	linux_pipe2	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1707
open-file-path	linux_pread	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1026
open-file-path	linux_preadv	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1076
open-file-path	linux_pwrite	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1052
open-file-path	linux_pwritev	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1103
open-file-path	linux_readdir	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	595
open-file-path	linux_readlink	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	897
open-file-path	linux_readlinkat	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	909
open-file-path	linux_rename	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	810
open-file-path	linux_renameat	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	819
open-file-path	linux_renameat2	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	833
open-file-path	linux_rmdir	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	802
open-file-path	linux_splice	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1860
open-file-path	linux_symlink	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	877
open-file-path	linux_symlinkat	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	886
open-file-path	linux_sync_file_range	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1003
open-file-path	linux_to_bsd_flock	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1260
open-file-path	linux_to_bsd_flock64	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1317
open-file-path	linux_truncate	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	922
open-file-path	linux_truncate64	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	930
open-file-path	linux_umount	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1225
open-file-path	linux_unlink	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	703
open-file-path	linux_unlinkat	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	744
open-file-path	linux_unlinkat_impl	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	724
open-file-path	linux_write	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1915
open-file-path	linux_writev	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_file.c	1927
path-device	linux_device_register_handler	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_util.c	304
path-device	linux_device_unregister_handler	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_util.c	324
path-device	linux_driver_get_major_minor	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_util.c	152
path-device	linux_driver_get_name_dev	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_util.c	136
path-device	linux_free_get_char_devices	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_util.c	295
path-device	linux_get_char_devices	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_util.c	258
path-device	linux_msg	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_util.c	104
path-device	linux_pwd_onexec	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_util.c	78
path-device	linux_pwd_onexec_native	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_util.c	97
path-device	linux_vn_get_major_minor	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_util.c	215
path-prefix	linux_common_execve	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_emul.c	212
path-prefix	linux_on_exec	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_emul.c	257
path-prefix	linux_on_exit	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_emul.c	190
path-prefix	linux_proc_init	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_emul.c	137
path-prefix	linux_schedtail	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_emul.c	332
path-prefix	linux_set_default_openfiles	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_emul.c	94
path-prefix	linux_set_default_stacksize	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_emul.c	117
path-prefix	linux_thread_dtor	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_emul.c	317
signal	bsd_to_linux_rt_signal	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux.c	149
signal	bsd_to_linux_sigaction	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	145
signal	bsd_to_linux_sigaltstack	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux.c	194
signal	bsd_to_linux_signal	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux.c	168
signal	bsd_to_linux_sigset	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux.c	221
signal	linux_common_rt_sigtimedwait	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	493
signal	linux_copyin_sigset	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	968
signal	linux_do_sigaction	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	173
signal	linux_do_sigprocmask	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	288
signal	linux_kill	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	545
signal	linux_pksignal	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	928
signal	linux_psignal	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	955
signal	linux_rt_sigaction	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	263
signal	linux_rt_sigpending	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	450
signal	linux_rt_sigprocmask	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	356
signal	linux_rt_sigqueueinfo	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	818
signal	linux_rt_sigsuspend	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	873
signal	linux_rt_sigtimedwait	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	474
signal	linux_rt_sigtimedwait_time64	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	525
signal	linux_rt_tgsigqueueinfo	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	846
signal	linux_sgetmask	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	383
signal	linux_sigaltstack	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	214
signal	linux_signal	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	246
signal	linux_sigpending	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	424
signal	linux_sigprocmask	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	318
signal	linux_ssetmask	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	400
signal	linux_tdksignal	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	887
signal	linux_tdsignal	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	915
signal	linux_tgkill	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	567
signal	linux_tkill	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	592
signal	linux_to_bsd_rt_signal	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux.c	142
signal	linux_to_bsd_sigaction	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_signal.c	73
signal	linux_to_bsd_sigaltstack	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux.c	180
signal	linux_to_bsd_signal	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux.c	156
signal	linux_to_bsd_sigset	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux.c	206
socket	bsd_to_linux_cmsg_type	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	725
socket	bsd_to_linux_domain	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux.c	261
socket	bsd_to_linux_ip6_cmsg_type	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	712
socket	bsd_to_linux_ip_cmsg_type	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	698
socket	bsd_to_linux_msghdr	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	781
socket	bsd_to_linux_sockaddr	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux.c	292
socket	bsd_to_linux_sockopt_level	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	108
socket	bsd_to_linux_tcp_user_timeout	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	618
socket	linux_accept	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	1155
socket	linux_accept4	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	1163
socket	linux_accept_common	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	1081
socket	linux_bind	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	1013
socket	linux_check_hdrincl	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	857
socket	linux_connect	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	1033
socket	linux_copyout_sockaddr	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	816
socket	linux_getpeername	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	1196
socket	linux_getsockname	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	1171
socket	linux_getsockopt	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	2447
socket	linux_getsockopt_so_linger	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	2394
socket	linux_getsockopt_so_peergroups	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	2338
socket	linux_getsockopt_so_peersec	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	2375
socket	linux_getsockopt_tcp_info	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	2411
socket	linux_listen	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	1074
socket	linux_recv	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	1307
socket	linux_recvfrom	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	1360
socket	linux_recvmmsg	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	2063
socket	linux_recvmmsg_common	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	2011
socket	linux_recvmmsg_time64	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	2084
socket	linux_recvmsg	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	1996
socket	linux_recvmsg_common	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	1832
socket	linux_send	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	1264
socket	linux_sendfile	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	2878
socket	linux_sendfile64	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	2924
socket	linux_sendfile_common	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	2829
socket	linux_sendit	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	832
socket	linux_sendmmsg	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	1595
socket	linux_sendmsg	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	1587
socket	linux_sendmsg_common	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	1414
socket	linux_sendto	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	1329
socket	linux_sendto_hdrincl	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	876
socket	linux_set_socket_flags	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_socket.c	803
